File_Name,Full_Path,File_Type,Contains,Should_Push,Priority,Notes
secrets/,C:\Users\imdrx\IdeaProjects\PBL4\secrets\,Directory,Secrets Files,NO,CRITICAL,Secrets folder - DO NOT PUSH
.private/,C:\Users\imdrx\IdeaProjects\PBL4\.private\,Directory,Hidden Private Files,NO,CRITICAL,Hidden private folder
.secrets/,C:\Users\imdrx\IdeaProjects\PBL4\.secrets\,Directory,Hidden Secrets,NO,CRITICAL,Hidden secrets folder
*.log,C:\Users\imdrx\IdeaProjects\PBL4\*.log,Log,Application Logs,NO,MEDIUM,Application log files may contain sensitive data
logs/,C:\Users\imdrx\IdeaProjects\PBL4\logs\,Directory,Log Files,NO,MEDIUM,Logs directory
venv/,C:\Users\imdrx\IdeaProjects\PBL4\venv\,Directory,Python Virtual Env,NO,MEDIUM,Virtual environment - Python deps only
env/,C:\Users\imdrx\IdeaProjects\PBL4\env\,Directory,Python Virtual Env,NO,MEDIUM,Virtual environment alternate
node_modules/,C:\Users\imdrx\IdeaProjects\PBL4\node_modules\,Directory,Node Dependencies,NO,MEDIUM,Node.js dependencies
target/,C:\Users\imdrx\IdeaProjects\PBL4\backend-core\target\,Directory,Java Build Artifacts,NO,MEDIUM,Maven build output
__pycache__/,C:\Users\imdrx\IdeaProjects\PBL4\__pycache__\,Directory,Python Cache,NO,LOW,Python cache files
.next/,C:\Users\imdrx\IdeaProjects\PBL4\frontend-web\.next\,Directory,Next.js Build,NO,MEDIUM,Next.js build output
.gitignore,C:\Users\imdrx\IdeaProjects\PBL4\.gitignore,Configuration,Git Ignore Rules,YES,SAFE,Gitignore rules - includes .env - SAFE
.env.example,C:\Users\imdrx\IdeaProjects\PBL4\backend-core\.env.example,Configuration,Backend Template,YES,SAFE,Backend template
.env.example,C:\Users\imdrx\IdeaProjects\PBL4\ai-service\.env.example,Configuration,AI Service Template,YES,SAFE,AI service template
.env.example,C:\Users\imdrx\IdeaProjects\PBL4\frontend-web\.env.example,Configuration,Frontend Template,YES,SAFE,Frontend template
pom.xml,C:\Users\imdrx\IdeaProjects\PBL4\backend-core\pom.xml,Maven Config,Dependencies Only,YES,SAFE,Maven config - no secrets
package.json,C:\Users\imdrx\IdeaProjects\PBL4\frontend-web\package.json,NPM Config,Dependencies Only,YES,SAFE,Package config - no secrets
requirements.txt,C:\Users\imdrx\IdeaProjects\PBL4\ai-service\requirements.txt,Python Deps,Dependencies Only,YES,SAFE,Python dependencies - no secrets
README.md,C:\Users\imdrx\IdeaProjects\PBL4\README.md,Documentation,Documentation,YES,SAFE,Architecture documentation
SENSITIVE_FILES_GUIDE.md,C:\Users\imdrx\IdeaProjects\PBL4\SENSITIVE_FILES_GUIDE.md,Documentation,Documentation,YES,SAFE,Sensitive files guide
SENSITIVE_FILES_QUICK_REFERENCE.md,C:\Users\imdrx\IdeaProjects\PBL4\SENSITIVE_FILES_QUICK_REFERENCE.md,Documentation,Documentation,YES,SAFE,Quick reference guide
docker-compose.yml,C:\Users\imdrx\IdeaProjects\PBL4\docker-compose.yml,Docker,Template Docker Compose,YES,SAFE,Docker compose template - no password
Dockerfile,C:\Users\imdrx\IdeaProjects\PBL4\ai-service\Dockerfile,Docker,Container Image,YES,SAFE,AI service Dockerfile
Dockerfile,C:\Users\imdrx\IdeaProjects\PBL4\backend-core\Dockerfile,Docker,Container Image,YES,SAFE,Backend Dockerfile
Dockerfile,C:\Users\imdrx\IdeaProjects\PBL4\frontend-web\Dockerfile,Docker,Container Image,YES,SAFE,Frontend Dockerfile

